,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,param_leaf_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
54,0.006591367721557617,0.0010866857021704737,0.029657793045043946,0.002859454970644029,uniform,2,1,27,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 1, 'leaf_size': 27}",0.7510402715351,0.6807084400306089,0.8532477818768943,0.962280755272859,0.8237210650499763,0.8141996627530876,0.09523910742297462,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
55,0.0069907188415527345,6.543109375417497e-05,0.03179707527160645,0.0026553621140037,uniform,2,10,19,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 10, 'leaf_size': 19}",0.5776957595430599,0.7620922384701913,0.7510402715351,0.918615164580907,0.7782896421160245,0.7575466152490564,0.10842755760842572,58,0.8197470248104862,0.7741183805893768,0.7901624813145642,0.7659123143357005,0.7699882574079594,0.7839856916916175,0.019682299867891166
56,0.006721925735473633,3.792021829865384e-05,0.030218076705932618,0.0019210267665134713,uniform,2,8,15,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 8, 'leaf_size': 15}",0.5776957595430599,0.7620922384701913,0.7968511125745006,0.9598525742455006,0.7782896421160245,0.7749562653898553,0.1214531441483531,36,0.8276410603047738,0.7775957123029265,0.8101517635873164,0.7934689819104465,0.7854783116243657,0.7988671659459657,0.017978630045214
57,0.007035303115844727,0.0003047295899717598,0.017965412139892577,0.0007944159375919454,distance,2,1,27,"{'weights': 'distance', 'p': 2, 'n_neighbors': 1, 'leaf_size': 27}",0.7510402715351,0.6807084400306089,0.8532477818768943,0.962280755272859,0.8237210650499763,0.8141996627530876,0.09523910742297462,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
58,0.0067694664001464845,5.449132646511488e-05,0.03097538948059082,0.0011681937515070923,uniform,2,3,37,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 3, 'leaf_size': 37}",0.6289321748328134,0.7257846945650099,0.8532477818768943,0.928019650891588,0.8966167345234255,0.8065202073379464,0.11235541600543733,14,0.9326054975650483,0.8961224457642414,0.8744768280917526,0.8468742264810064,0.8566875845089076,0.8813533164821912,0.03062484389893731
59,0.006781005859375,4.194801281715447e-05,0.029324817657470702,0.0010069048771578586,uniform,2,3,25,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 3, 'leaf_size': 25}",0.6289321748328134,0.7257846945650099,0.8532477818768943,0.928019650891588,0.8966167345234255,0.8065202073379464,0.11235541600543733,14,0.9326054975650483,0.8961224457642414,0.8744768280917526,0.8468742264810064,0.8566875845089076,0.8813533164821912,0.03062484389893731
60,0.005271005630493164,0.000765103629387964,0.07653021812438965,0.00824452103873234,distance,1,7,7,"{'weights': 'distance', 'p': 1, 'n_neighbors': 7, 'leaf_size': 7}",0.5776957595430599,0.7784759128622006,0.7510402715351,0.9598525742455006,0.8237210650499763,0.7781571166471675,0.12329597991646009,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
61,0.006748628616333008,0.0013973466641244675,0.02885279655456543,0.0014173324407568805,uniform,2,10,25,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 10, 'leaf_size': 25}",0.5776957595430599,0.7620922384701913,0.7510402715351,0.918615164580907,0.7782896421160245,0.7575466152490564,0.10842755760842572,58,0.8197470248104862,0.7741183805893768,0.7901624813145642,0.7659123143357005,0.7699882574079594,0.7839856916916175,0.019682299867891166
62,0.00731964111328125,0.0011862642119156188,0.019170761108398438,0.0010563930836779685,distance,2,5,11,"{'weights': 'distance', 'p': 2, 'n_neighbors': 5, 'leaf_size': 11}",0.6034870641169854,0.7510402715351,0.823871549586303,0.9206974128233971,0.8237210650499763,0.7845634726223524,0.10537870976846539,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
63,0.0067593097686767575,7.071442002594526e-05,0.03555479049682617,0.006499731792626925,uniform,2,18,39,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 18, 'leaf_size': 39}",0.5241844769403825,0.7620922384701913,0.703704043847507,0.918615164580907,0.8237210650499763,0.7464633977777929,0.13197387591818371,93,0.7815593143336087,0.7620456466610313,0.7753687899229137,0.7382050609272464,0.7516518919230535,0.7617661407535706,0.015711794425425085
64,0.006862545013427734,9.27183584182955e-05,0.03032550811767578,0.0014721439356744012,uniform,2,14,13,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 14, 'leaf_size': 13}",0.5776957595430599,0.7620922384701913,0.7510402715351,0.918615164580907,0.8237210650499763,0.7666328998358469,0.11164108388002365,43,0.759732699536374,0.7551602419895325,0.7737947532124996,0.7463891272586417,0.7269204466583616,0.7523994537310819,0.015520703021870039
65,0.00679631233215332,0.0035067644945460693,0.08002767562866211,0.009236164991939981,distance,1,15,13,"{'weights': 'distance', 'p': 1, 'n_neighbors': 15, 'leaf_size': 13}",0.5776957595430599,0.7315297578349795,0.7257846945650099,0.918615164580907,0.7966739195824638,0.750059859221284,0.11065784447800543,87,1.0,1.0,1.0,1.0,1.0,1.0,0.0
66,0.00672149658203125,0.00029326760644237293,0.1274416923522949,0.0026212298753501197,uniform,1,5,9,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 5, 'leaf_size': 9}",0.6289321748328134,0.7510402715351,0.7784759128622006,0.9598525742455006,0.8237210650499763,0.7884043997051182,0.10730124587806857,19,0.8276410603047738,0.8197470248104862,0.8084078941285412,0.8084078941285412,0.7970127927739942,0.8122433332292675,0.010533621743619907
